Test #	Trace	Type	KN	K	Misses	Miss Rate
1	0	0	64	2	19809	3.417643
2	0	0	64	4	21951	3.787202
3	0	0	64	8	26088	4.500958
4	0	0	64	16	32998	5.693138
5	0	0	256	2	11668	2.013078
6	0	0	256	4	12433	2.145063
7	0	0	256	8	14082	2.429565
8	0	0	256	16	17272	2.979935
9	0	1	64	2	19665	3.392799
10	0	1	64	4	22282	3.844309
11	0	1	64	8	26251	4.529080
12	0	1	64	16	32994	5.692448
13	0	1	256	2	11591	1.999793
14	0	1	256	4	12403	2.139887
15	0	1	256	8	13863	2.391781
16	0	1	256	16	17826	3.075516
17	1	0	64	2	49239	8.226243
18	1	0	64	4	49963	8.347200
19	1	0	64	8	50559	8.446772
20	1	0	64	16	51557	8.613506
21	1	0	256	2	31364	5.239909
22	1	0	256	4	32899	5.496358
23	1	0	256	8	34497	5.763332
24	1	0	256	16	35531	5.936080
25	1	1	64	2	49394	8.252138
26	1	1	64	4	50034	8.359062
27	1	1	64	8	50544	8.444266
28	1	1	64	16	51690	8.635726
29	1	1	256	2	31489	5.260793
30	1	1	256	4	32952	5.505213
31	1	1	256	8	34561	5.774024
32	1	1	256	16	35681	5.961140
